"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 18, 2021","41,674.30","41,932.28","41,932.28","41,351.24","-","-0.62%"
"Feb 17, 2021","41,932.28","42,030.01","42,030.01","41,579.69","-","-0.23%"
"Feb 16, 2021","42,030.01","42,099.85","42,290.82","41,909.84","-","-0.17%"
"Feb 12, 2021","42,099.85","41,899.28","42,112.73","41,772.49","-","0.48%"
"Feb 11, 2021","41,899.28","41,833.27","42,028.23","41,600.89","-","0.16%"
"Feb 10, 2021","41,833.27","41,847.05","42,093.04","41,533.95","-","-0.03%"
"Feb 09, 2021","41,847.05","41,828.22","41,932.13","41,701.17","-","0.05%"
"Feb 08, 2021","41,828.22","41,448.87","41,828.34","41,448.87","-","0.92%"
"Feb 05, 2021","41,448.87","41,214.94","41,498.49","41,214.94","-","0.57%"
"Feb 04, 2021","41,214.94","40,728.54","41,216.38","40,728.54","-","1.19%"
"Feb 03, 2021","40,728.54","40,649.11","40,899.02","40,556.50","-","0.18%"
"Feb 02, 2021","40,657.30","40,074.46","40,792.64","40,074.46","-","1.45%"
"Feb 01, 2021","40,074.46","39,396.17","40,158.76","39,396.17","-","1.72%"
"Jan 29, 2021","39,396.17","40,127.06","40,127.06","39,178.53","-","-1.82%"
"Jan 28, 2021","40,127.06","39,790.19","40,541.88","39,790.19","-","0.85%"
"Jan 27, 2021","39,790.19","40,802.11","40,802.11","39,605.98","-","-2.48%"
"Jan 26, 2021","40,802.11","40,913.04","41,097.12","40,785.19","-","-0.27%"
"Jan 25, 2021","40,913.04","40,783.63","41,049.29","40,293.62","-","0.32%"
"Jan 22, 2021","40,783.63","40,809.52","40,863.44","40,567.71","-","-0.06%"
"Jan 21, 2021","40,809.52","40,829.13","40,915.64","40,716.60","-","-0.05%"
"Jan 20, 2021","40,829.13","40,328.83","40,899.95","40,328.83","-","1.24%"
"Jan 19, 2021","40,328.83","39,981.97","40,378.72","39,981.97","-","0.87%"
